"id","government_id","name","rti_requests_count","created_at","updated_at"
1,1,Cabinet Secretariat,0,"2023-06-24 08:53:05.521102000","2023-06-24 08:53:05.521102000"
2,1,Department of Administrative Reforms & PG,0,"2023-06-24 08:53:05.535358000","2023-06-24 08:53:05.535358000"
3,1,Department of Agricultural Research & Education,0,"2023-06-24 08:53:05.549473000","2023-06-24 08:53:05.549473000"
4,1,Indian Council of Agricultural Research (ICAR) Hqrs.,0,"2023-06-24 08:53:05.563183000","2023-06-24 08:53:05.563183000"
5,1,Department of Agriculture & Cooperation,0,"2023-06-24 08:53:05.578172000","2023-06-24 08:53:05.578172000"
6,1,Directorate of Economics and  Statistics,0,"2023-06-24 08:53:05.592488000","2023-06-24 08:53:05.592488000"
7,1,Commission for Agricultural Cost & Prices(CACP),0,"2023-06-24 08:53:05.607029000","2023-06-24 08:53:05.607029000"
8,1,"Department of Animal Husbandry, Dairying and Fisheries",0,"2023-06-24 08:53:05.619493000","2023-06-24 08:53:05.619493000"
9,1,Department of Atomic Energy,0,"2023-06-24 08:53:05.635956000","2023-06-24 08:53:05.635956000"
10,1,Department of AYUSH,0,"2023-06-24 08:53:05.649929000","2023-06-24 08:53:05.649929000"
11,1,Department of Bio-Technology,0,"2023-06-24 08:53:05.661546000","2023-06-24 08:53:05.661546000"
12,1,Department of Chemicals & Petrochemicals,0,"2023-06-24 08:53:05.676112000","2023-06-24 08:53:05.676112000"
13,1,Department of Commerce,0,"2023-06-24 08:53:05.690818000","2023-06-24 08:53:05.690818000"
14,1,Directorate General of Foreign Trade,0,"2023-06-24 08:53:05.702398000","2023-06-24 08:53:05.702398000"
15,1,Spices Board India,0,"2023-06-24 08:53:05.714492000","2023-06-24 08:53:05.714492000"
16,1,Department of Consumer Affairs,0,"2023-06-24 08:53:05.726473000","2023-06-24 08:53:05.726473000"
17,1,Department of Defence,0,"2023-06-24 08:53:05.738715000","2023-06-24 08:53:05.738715000"
18,1,Department of Defence Production,0,"2023-06-24 08:53:05.750189000","2023-06-24 08:53:05.750189000"
19,1,Bharat Dynamics Ltd.,0,"2023-06-24 08:53:05.762300000","2023-06-24 08:53:05.762300000"
20,1,BEML Limited,0,"2023-06-24 08:53:05.773486000","2023-06-24 08:53:05.773486000"
21,1,Hindustan Aeronautics Ltd.,0,"2023-06-24 08:53:05.789709000","2023-06-24 08:53:05.789709000"
22,1,Bharat Electronics Ltd.,0,"2023-06-24 08:53:05.803137000","2023-06-24 08:53:05.803137000"
23,1,Directorate General of Quality Assurance,0,"2023-06-24 08:53:05.816495000","2023-06-24 08:53:05.816495000"
24,1,Department of Disinvestment,0,"2023-06-24 08:53:05.831071000","2023-06-24 08:53:05.831071000"
25,1,Department of Economic Affairs,0,"2023-06-24 08:53:05.843001000","2023-06-24 08:53:05.843001000"
26,1,Department of Electronics & Information Technology,0,"2023-06-24 08:53:05.855070000","2023-06-24 08:53:05.855070000"
27,1,"Standardization, Testing and Quality Certification (STQC)",0,"2023-06-24 08:53:05.866815000","2023-06-24 08:53:05.866815000"
28,1,National Institute of Electronics & Information Technology,0,"2023-06-24 08:53:05.879212000","2023-06-24 08:53:05.879212000"
29,1,Department of Expenditure,0,"2023-06-24 08:53:05.892867000","2023-06-24 08:53:05.892867000"
30,1,Central Pension Accounting Office,0,"2023-06-24 08:53:05.908607000","2023-06-24 08:53:05.908607000"
31,1,Department of Ex-Servicemen Welfare,0,"2023-06-24 08:53:05.923242000","2023-06-24 08:53:05.923242000"
32,1,Department of Fertilisers,0,"2023-06-24 08:53:05.936566000","2023-06-24 08:53:05.936566000"
33,1,Department of Financial Services,0,"2023-06-24 08:53:05.951786000","2023-06-24 08:53:05.951786000"
34,1,Reserve Bank of India,0,"2023-06-24 08:53:05.965350000","2023-06-24 08:53:05.965350000"
35,1,Oriental Insurance Company Ltd.,0,"2023-06-24 08:53:05.977625000","2023-06-24 08:53:05.977625000"
36,1,Department of Food & Public Distribution,0,"2023-06-24 08:53:05.992523000","2023-06-24 08:53:05.992523000"
37,1,"Directorate of Vananspati, Vegetable Oils & Fats",0,"2023-06-24 08:53:06.007468000","2023-06-24 08:53:06.007468000"
38,1,"National Sugar Institute, Kanpur",0,"2023-06-24 08:53:06.019525000","2023-06-24 08:53:06.019525000"
39,1,Food Corporation of India,0,"2023-06-24 08:53:06.034394000","2023-06-24 08:53:06.034394000"
40,1,Central Warehousing Corporation<,0,"2023-06-24 08:53:06.047500000","2023-06-24 08:53:06.047500000"
41,1,Department of Health & Family Welfare,0,"2023-06-24 08:53:06.062629000","2023-06-24 08:53:06.062629000"
42,1,National Institute of Health & Family Welfare,0,"2023-06-24 08:53:06.074495000","2023-06-24 08:53:06.074495000"
43,1,Pharmacy Council of India,0,"2023-06-24 08:53:06.086355000","2023-06-24 08:53:06.086355000"
44,1,Dental Council of India,0,"2023-06-24 08:53:06.097872000","2023-06-24 08:53:06.097872000"
45,1,Indian Council of Medical Research,0,"2023-06-24 08:53:06.110971000","2023-06-24 08:53:06.110971000"
